Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
임지열,64340,30,0,0.205,0.0,13.3,33.3,25,3,0,0,4,1,10
김재성,65132,73,1,0.204,0.108,6.8,17.8,65,5,2,1,5,1,13
박대온,64944,95,0,0.202,0.012,4.2,22.1,85,17,1,0,4,0,21
김규성,66614,41,0,0.202,0.028,12.2,41.5,36,4,1,0,5,0,17
유장혁,69766,112,1,0.201,0.082,7.1,34.8,98,8,5,0,8,2,39
신민재,65207,27,0,0.201,0.0,14.8,22.2,23,3,0,0,4,0,6
권혁경,51640,18,0,0.198,0.0,0.0,33.3,18,4,0,0,0,0,6
강태율,65514,31,1,0.198,0.154,12.9,32.3,26,0,1,0,4,0,10
김도환,69442,46,0,0.194,0.049,4.3,43.5,41,4,2,0,2,2,20
최승민,65905,33,0,0.194,0.033,3.0,21.2,30,5,1,0,1,0,7
이홍구,63634,55,1,0.193,0.058,3.6,49.1,52,8,0,0,2,0,27
손호영,50150,12,0,0.192,0.0,8.3,16.7,10,1,0,0,1,1,2
이도윤,65703,68,0,0.185,0.0,5.9,26.5,63,11,0,0,4,0,18
노태형,64704,49,0,0.183,0.023,12.2,30.6,43,4,1,0,6,0,15
구본혁,69100,45,0,0.178,0.053,6.7,15.6,38,3,2,0,3,1,7
이성우,71184,39,0,0.177,0.0,2.6,20.5,33,7,0,0,1,0,8
이해창,60343,60,0,0.176,0.056,1.7,21.7,54,6,3,0,1,1,13
정민규,51764,17,0,0.168,0.062,5.9,35.3,16,1,1,0,1,0,6
이주형,50167,19,0,0.168,0.0,5.3,36.8,16,2,0,0,1,1,7
홍현빈,67005,12,0,0.148,0.0,0.0,66.7,11,2,0,0,0,0,8
김성윤,67449,19,0,0.141,0.0,0.0,26.3,18,3,0,0,0,0,5
나주환,73209,32,0,0.139,0.0,0.0,37.5,31,5,0,0,0,0,12
최민재,63895,27,0,0.131,0.04,7.4,29.6,25,1,1,0,2,0,8
박정음,62353,18,0,0.117,0.0,11.1,16.7,14,0,0,0,2,1,3
김지수,65503,25,0,0.114,0.042,4.0,56.0,24,1,1,0,1,0,14
오선우,69636,16,0,0.099,0.0,6.2,56.2,15,1,0,0,1,0,9
김창평,69825,28,0,0.088,0.0,3.6,21.4,25,2,0,0,1,0,6
김현민,69702,12,0,0.074,0.0,0.0,33.3,12,1,0,0,0,0,4
송호정,51767,11,0,0.063,0.0,9.1,72.7,10,0,0,0,1,0,8
