Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
문용익,67419,27.7,83,20,2,19,0,30,4.03,9.76,6.18,0.39
윤성빈,67588,27.0,81,26,3,20,4,44,4.05,14.67,6.67,0.38
윤산흠,69213,16.7,50,16,1,5,3,17,3.38,9.18,2.7,0.36
이우찬,61145,18.3,55,13,0,14,1,19,3.58,9.33,6.87,0.35
정현우,55313,79.0,237,87,7,46,5,54,4.92,6.15,5.24,0.34
전용주,69047,13.7,41,18,0,7,0,11,3.13,7.24,4.61,0.33
김재윤,65062,56.0,168,57,10,13,1,42,4.77,6.75,2.09,0.33
윤태호,52202,17.7,53,16,2,5,0,16,3.71,8.15,2.55,0.31
박준우,54503,12.3,37,21,0,6,1,11,3.12,8.03,4.38,0.3
황동재,50441,18.7,56,24,1,12,2,21,3.9,10.12,5.79,0.29
양재훈,55215,23.3,70,19,3,8,0,19,4.27,7.33,3.09,0.27
